Comuna;AH;AMARILLOS;DEMOCRATAS;EVOPOLI;FA;FREVS;IGUALDAD;IND;PAVP;PCCH;PDC;PDG;PH;PL;POPULAR;PPD;PR;PS;PSC;PTR;REPUBLICANO;RN;UDI
PENCAHUE;43.6;66.4;105.8;497.8;137;290;0;0;0;73;1128.6;258.6;0;0;0;941.6;1459.8;163;124.2;0;1605;1192.8;1574.2
LOTA;0;222.2;2427;1139.4;1211.8;330.4;0;0;0;4094.6;2532;2327;0;789.4;0;1505.2;2978.2;3550;2965.2;0;3086.8;5683.6;1319.4
CANELA;257.6;0;420.8;0;141.6;0;0;0;0;2415;706;88;0;0;0;1166.2;0;54.4;0;0;326;334;554.6
HUARA;0;0;52;37.6;80;84;0;0;0;220;94.4;0;0;48;0;38.4;131.2;74;27;0;315.4;698;581.6
MAFIL;0;0;0;227.2;110.6;23;0;0;0;85.8;605;96;0;0;0;720.6;731.2;526;0;0;877.8;1291;615.2
CHONCHI;0;0;0;0;464;75.6;0;0;0;314.6;924;0;0;75.6;0;511;2424.8;1539.6;145;0;650.6;1747.2;2102
RENGO;0;0;2361.4;730;6424.8;1758.6;0;0;1039.4;1811.4;1972.6;2258.8;0;41.6;0;4081.2;2080.6;1663.6;0;0;5792.4;7754.6;835.2
ALTO DEL CARMEN;0;0;0;0;336.8;454.4;0;0;0;95.4;109.6;251;0;80.4;35;92;284;362;0;0;344.6;617;170.2
RIO HURTADO;0;72.8;309.6;0;0;24.8;0;0;0;202.2;297.8;84;0;24.8;0;61.8;144.6;194.2;87;0;431.4;559.4;456.4
VILLA ALEMANA;0;1390;0;660;5782.6;1258.4;986.4;3191;0;5057.8;3350.6;2180.8;986.4;1258.4;1982.4;1804;2847.2;2189.4;2086.2;0;15805;9221.8;4170
LAGO RANCO;0;0;0;0;0;0;0;0;0;252;1078;0;0;0;0;698;0;1231.6;0;0;1141.6;2335.6;1775
RETIRO;0;0;129.6;0;341;0;0;1616;0;763.8;2637;183;0;0;0;921;0;468.4;188;0;1149.8;6526.6;2938.8
PEÑALOLEN;6527.4;0;1916;5122.6;23941;4418.2;1528.8;3003;6136.4;7728;9223;1683;4560.8;1126.2;1528.8;8428.2;3521.8;8344;2750.4;0;18194.6;19419.2;9501
VILLA ALEGRE;0;0;75.2;0;862;883;0;0;0;615;867;529.4;0;0;0;1295.8;706;1027.4;92.8;0;891.6;2719.6;3204.8
LOS ANGELES;0;844.2;12950;1636.2;3644.6;582;4474.6;0;0;4458;13018.4;9178.4;173.6;2501;173.6;3785.6;12548.2;4175.8;7409.2;0;22227.6;13809.2;17392.6
EL MONTE;0;0;176.8;338.4;847;0;0;0;1329.4;2193;1457;434;0;226;0;623.2;1846.4;1668.2;356;0;1952.6;1915.8;4342.8
MOSTAZAL;0;0;284.2;0;1300;235;0;0;502.2;1207.6;764.8;630;0;38;0;623.4;3128.2;4324.2;0;0;2353;1759.8;2357.6
PELLUHUE;0;0;0;1247;0;0;0;0;0;167;1311;0;0;0;0;493.6;1348.8;288.6;95;0;1328.8;1271.8;707.2
LO PRADO;556;0;1491;348;4606.8;3441;124.5333333;0;2089;7251;2478.2;4053.8;1713.533333;298;124.5333333;11964;3528;3711.8;2579.8;0;4500.6;6332.6;2499
HUECHURABA;249;0;1997.2;2616;4861.8;2054.2;0;0;982.2;5349.4;1675.8;2872.8;887;843.2;0;4689;462.4;2434;720.8;0;7379.8;6291;4247
LAS CABRAS;0;0;1368.8;0;659.6;589.8;0;505;0;708.2;1379;476;0;18.8;0;1149;1872.6;7145.2;0;0;2197;1373.4;2504.8
SAN MIGUEL;344;0;1974;2350.2;15129;1723.4;278.1333333;2832;2662.8;8626;2282;1665.4;747.1333333;609.4;278.1333333;582;2838.2;5654;2261.2;0;11485;11285.6;9352.8
FRESIA;0;74;0;75.8;560.2;430.4;0;0;0;87;1281;92.8;0;53.4;0;66;628.8;987.2;0;0;1510;3386.8;911.2
TORTEL;0;0;0;0;0;0;0;0;0;19;47;0;0;0;0;21;0;95.2;0;0;0;239.6;173.4
INDEPENDENCIA;536;0;636;678;5540.4;519.2;115.4666667;0;2547;3880.4;1075.2;1187;1159.466667;502.2;115.4666667;1004.6;906.8;3371.2;1722.8;0;6381;8303.4;5973.8
GRANEROS;0;0;858.8;0;969.2;2235;0;444;819.2;1139;1616.8;691;0;36;0;2476.6;2069.2;1498.8;0;0;5081.6;2316.2;1357.6
RIO CLARO;56.8;521.6;416.4;903.2;136;59;0;0;0;231.8;188.6;155.6;0;0;0;70.2;1280.4;350;372;0;1275.2;4383.6;955.8
CHEPICA;0;0;248.2;248;118;235.2;0;0;0;491;378;376;0;67.2;0;97;1080.2;2425.8;339.6;0;2021.4;1020;3553
ROMERAL;0;83.2;1148.2;1134.4;345.8;180.4;0;0;0;147.2;946;0;0;42.4;0;82;1579.4;1875.4;152.8;0;1716.6;2221.8;1567
CATEMU;0;0;0;0;1090.8;269.2;29.6;0;0;404.4;185.2;0;29.6;269.2;29.6;1722.6;286.4;320;135;0;685;2566.8;154.8
PLACILLA;0;80;375;46.4;79;532.4;0;0;0;236;2071;160;0;286.4;0;33;643.6;964.8;328.6;0;1160.2;1074;653.6
CAMARONES;10.4;0;160;0;29.2;86.2;52;0;0;46.8;217.8;24.6;63;87.2;53;149.8;155.6;36;87.4;0;55.4;95;232.2
LOLOL;0;549;155.6;62.4;362;357.4;0;697;0;384;489;416;0;54.4;0;410;604.2;592.2;68;0;415.4;1089.6;609.6
OVALLE;0;940;1999.2;499.4;1313.6;1643.8;0;0;0;7932.2;5486.8;2822.2;0;1292.8;0;1825.2;2435.6;3916;4131.6;0;7679.2;8619.4;4802
LA REINA;2551;0;0;5763.6;8366;1083;0;0;2999;4219;3186;0;841;537;0;2149.2;1611.2;5668;1390.4;0;14259.8;8098.4;13516
LUMACO;0;0;37;1404.4;575.6;215;0;0;0;6;275;0;0;0;0;674.6;604.4;407;49.6;0;1631.2;625.4;835.6
GUAITECAS;0;0;112;70;0;0;0;0;0;30.8;9;0;0;0;0;238.6;115;10.6;0;0;111.6;374.4;114.4
TALCAHUANO;0;2599.8;3240.6;2127;8564.2;8464.6;3837;0;0;3812;3474.8;5662.4;0;3957.6;0;1402.8;5507.2;5985;10032.4;0;16613.6;4780;9576.8
